Faturação,Margem,Unidades,Data
30892,10629.969999999952,746,2020-02-01 00:00:00
30298,10440.839999999956,736,2020-02-02 00:00:00
30916,10581.399999999961,746,2020-02-03 00:00:00
30925,10630.63999999998,749,2020-02-04 00:00:00
31563,10854.059999999989,758,2020-02-05 00:00:00
29997,10360.790000000005,728,2020-02-06 00:00:00
31017,10769.900000000003,751,2020-02-07 00:00:00
31869,10928.020000000028,764,2020-02-08 00:00:00
30878,10752.560000000034,743,2020-02-09 00:00:00
31625,10861.470000000056,763,2020-02-10 00:00:00
30792,10546.77000000005,748,2020-02-11 00:00:00
30751,10595.010000000044,746,2020-02-12 00:00:00
31020,10802.949999999999,753,2020-02-13 00:00:00
31153,10766.429999999973,757,2020-02-14 00:00:00
31868,11006.449999999963,769,2020-02-15 00:00:00
31157,10804.809999999992,744,2020-02-16 00:00:00
31423,10753.299999999977,757,2020-02-17 00:00:00
30648,10595.559999999985,743,2020-02-18 00:00:00
31239,10719.179999999982,759,2020-02-19 00:00:00
31732,10962.329999999989,760,2020-02-20 00:00:00
31473,10813.179999999982,757,2020-02-21 00:00:00
30628,10627.839999999998,735,2020-02-22 00:00:00
31985,10963.719999999978,763,2020-02-23 00:00:00
31319,10835.48999999999,761,2020-02-24 00:00:00
30705,10642.000000000013,743,2020-02-25 00:00:00
31158,10805.949999999992,752,2020-02-26 00:00:00
31908,11097.189999999993,758,2020-02-27 00:00:00
31285,10780.119999999975,757,2020-02-28 00:00:00
32250,11148.419999999973,770,2020-02-29 00:00:00
