Artist,Rank,Sales,Title,Year
ABBA,98,1.06,DANCING QUEEN,1976
ADAM AND THE ANTS,107,1.03,STAND & DELIVER,1981
ADELE,42,1.36,SOMEONE LIKE YOU,2011
AEROSMITH,108,1.03,I DON'T WANT TO MISS A THING,1998
ALEXANDRA BURKE,59,1.24,HALLELUJAH,2008
ALL SAINTS,47,1.31,NEVER EVER,1997
AQUA,13,1.79,BARBIE GIRL,1997
ART GARFUNKEL,62,1.2,BRIGHT EYES,1979
BABYLON ZOO,74,1.14,SPACEMAN,1996
BADDIEL & SKINNER & LIGHTNING SEEDS,27,1.53,THREE LIONS,1996
BAND AID,2,3.69,DO THEY KNOW IT'S CHRISTMAS?,1984
BAND AID 20,68,1.16,DO THEY KNOW IT'S CHRISTMAS?,2004
BILL HALEY & HIS COMETS,34,1.42,(WE'RE GONNA) ROCK AROUND THE CLOCK,1955
BILLY JOEL,110,1.02,UPTOWN GIRL,1983
BING CROSBY WITH THE KEN DARBY SINGERS AND JOHN SCOTT TROTTER ORCHESTRA,116,1.01,WHITE CHRISTMAS,1942
BLACK BOX,102,1.05,RIDE ON TIME,1989
BLACK EYED PEAS,50,1.3,I GOTTA FEELING,2009
BLONDIE,53,1.27,HEART OF GLASS,1979
BOB THE BUILDER,109,1.02,CAN WE FIX IT?,2000
BONEY M,11,1.85,MARY'S BOY CHILD/OH MY LORD,1978
BONEY M,6,2,RIVERS OF BABYLON/BROWN GIRL IN THE RING,1978
BOYZONE,77,1.13,NO MATTER WHAT,1998
BRITNEY SPEARS,29,1.51,...BABY ONE MORE TIME,1999
BROTHERHOOD OF MAN,114,1.01,SAVE YOUR KISSES FOR ME,1976
BRUNO MARS,78,1.12,JUST THE WAY YOU ARE (AMAZING),2010
BRYAN ADAMS,17,1.72,(EVERYTHING I DO) I DO IT FOR YOU,1991
CELINE DION,30,1.48,MY HEART WILL GO ON,1998
CELINE DION,49,1.3,THINK TWICE,1994
CHER,16,1.74,BELIEVE,1998
CLIFF RICHARD & THE SHADOWS,96,1.06,THE YOUNG ONES,1962
COOLIO FEATURING L.V.,37,1.41,GANGSTA'S PARADISE,1995
CULTURE CLUB,31,1.47,KARMA CHAMELEON,1983
DAVID SOUL,71,1.16,DON'T GIVE UP ON US,1976
DAWN FEATURING TONY ORLANDO,122,1,TIE A YELLOW RIBBON ROUND THE OLE OAK TREE,1973
DEXY'S MIDNIGHT RUNNERS,48,1.31,COME ON EILEEN,1982
DONNA SUMMER,99,1.05,I FEEL LOVE,1977
EIFFEL 65,93,1.07,BLUE (DA BA DEE),1999
ELTON JOHN,1,4.9,SOMETHING ABOUT THE WAY YOU LOOK TONIGHT/CANDLE IN THE WIND 97,1997
ELVIS PRESLEY,56,1.26,IT'S NOW OR NEVER,1960
EMINEM FEATURING RIHANNA,100,1.05,LOVE THE WAY YOU LIE,2010
ENGELBERT HUMPERDINCK,41,1.38,RELEASE ME,1967
ENGELBERT HUMPERDINCK,66,1.17,THE LAST WALTZ,1967
FRANK IFIELD,87,1.1,I REMEMBER YOU,1962
FRANKIE GOES TO HOLLYWOOD,7,2,RELAX,1983
FRANKIE GOES TO HOLLYWOOD,21,1.58,TWO TRIBES,1984
FUGEES,43,1.36,KILLING ME SOFTLY,1996
GARETH GATES,44,1.34,UNCHAINED MELODY,2002
GARY GLITTER,73,1.14,I LOVE YOU LOVE ME LOVE,1973
GEORGE MICHAEL,33,1.45,CARELESS WHISPER,1984
GLORIA GAYNOR,111,1.02,I WILL SURVIVE,1979
GNARLS BARKLEY,106,1.04,CRAZY,2006
GOTYE FEATURING KIMBRA,97,1.06,SOMEBODY THAT I USED TO KNOW,2011
HARRY BELAFONTE,65,1.18,MARY'S BOY CHILD,1957
